,Year,Rank,Company,Revenue,Profit
4792,2005,24,Pfizer,52921.0,11361
4429,2003,3,Exxon Mobil,182466.0,11460
4067,2001,10,Verizon Communications,64707.0,11797
4062,2001,5,General Electric,129853.0,12735
4781,2005,6,ChevronTexaco,147967.0,13328
4063,2001,6,Citigroup,111826.0,13519
4254,2002,6,General Electric,125913.0,13684
4430,2003,5,General Electric,131698.0,14118
4255,2002,7,Citigroup,112022.0,14126
4790,2005,18,Bank of America Corp.,63324.0,14143
4591,2004,5,General Electric,134187.0,15002
4431,2003,6,Citigroup,100789.0,15276
4252,2002,2,Exxon Mobil,191581.0,15320
4780,2005,5,General Electric,152363.0,16593
4783,2005,8,Citigroup,108276.0,17046
4058,2001,1,Exxon Mobil,210392.0,17720
4594,2004,8,Citigroup,94713.0,17853
4588,2004,2,Exxon Mobil,213199.0,21510
3688,1999,2,Ford Motor,144416.0,22071
4777,2005,2,Exxon Mobil,270772.0,25330
